Model,Strategy,Accuracy,Macro F1,Micro F1,Parse Fail %
GPT o4-mini,Zero-shot,0.7535,0.621,0.7535,7.0
GPT o4-mini,Few-shot,0.7337,0.6493,0.7337,13.0
Claude Sonnet 4.6,Zero-shot,0.7372,0.6828,0.7372,9.2
Claude Sonnet 4.6,Few-shot,0.737,0.6816,0.737,8.4
Gemini 2.5 Flash,Zero-shot,0.7598,0.6804,0.7598,7.6
Gemini 2.5 Flash,Few-shot,0.763,0.6609,0.763,7.6
meta-llama/Llama-3.3-70B-Instruct-Turbo,Zero-shot,0.7415,0.6183,0.7415,11.4
meta-llama/Llama-3.3-70B-Instruct-Turbo,Few-shot,0.7502,0.6077,0.7502,13.2
