Model,Strategy,AR,EN,AR-LAT,OTHER,OL
GPT o4-mini,Zero-shot,0.5678,0.9417,0.4649,0.9084,0.2222
GPT o4-mini,Few-shot,0.576,0.9375,0.4672,0.9086,0.3571
Claude Sonnet 4.6,Zero-shot,0.5735,0.9342,0.4696,0.9147,0.5217
Claude Sonnet 4.6,Few-shot,0.5655,0.9388,0.4678,0.9141,0.5217
Gemini 2.5 Flash,Zero-shot,0.5976,0.9411,0.4709,0.9122,0.48
Gemini 2.5 Flash,Few-shot,0.6085,0.9429,0.4602,0.9224,0.3704
LLaMA 3.3 70B,Zero-shot,0.5163,0.9347,0.4679,0.8868,0.2857
LLaMA 3.3 70B,Few-shot,0.5579,0.9375,0.4848,0.8843,0.1739
